id,catalog_number,title,attributes,description,price,stock,image_url,diagram_url,page_url
6159428,CMHP14C3060G,"High Performance 
3 Flute Square End 
1/4"" Cutting Diameter","D1: 1/4""| D2: 1/4| LOC: 0.164| OAL: 2 1/2| D3: 0.060| L3: 0.052| IA: 60°","<div id=""desc"" class=""uk-width-1-1 uk-width-medium-3-10"">                                                                                               
                                                            <p>Designed for eye-popping high performance chimpfering and countersinking in all materials. The Lemur high performance chamfer line is designed in 3 flute (Zrn coated) and 5 flute (GMS² coated) configurations and “drop the mic” while achieving maximum finish quality in materials up to 55 Rc.<br>
<strong>Available in special diameters, lengths and completely resharpenable.</strong></p>                            
                        </div>
<div id=""tolerances"" style=""margin-bottom:30px"">
                                            <h3>Tolerances</h3>
                                            <ul>
                                                
                                                    <li>Cut Dia +.000/-.002</li>
                                                
                                                    <li class=""even"">Shank Dia -.0001/-.0005</li>
                                                
                                                    <li>LOC +.025/+.050</li>
                                                
                                                    <li class=""even"">OAL +/-.050</li>
                                                
                                            </ul>
                                        </div>",32.32,55,https://gorillamill.com/images/uploads/product-tool-groups/CMHPXXC3-profile-view.png,https://gorillamill.com/images/uploads/mill-subcategories/3-flute-lemur-diagram.png,https://gorillamill.com/products/high-performance-chamfer-mills/3-flute-chamfer-mills/1-4-diameter-3fli
6159431,CMHP14C3082Z," High Performance 
3 Flute Square End 
1/4"" Cutting Diameter","D1: 1/4""| D2: 1/4""| LOC: 0.109""| OAL: 2 1/2""| D3: 0.060""| L3: 0.035""|
Coating: ZrN","<div id=""desc"" class=""uk-width-1-1 uk-width-medium-3-10"">
                            
                                <p>Designed for eye-popping high performance chimpfering and countersinking in all materials. The Lemur high performance chamfer line is designed in 3 flute (Zrn coated) and 5 flute (GMS² coated) configurations and “drop the mic” while achieving maximum finish quality in materials up to 55 Rc.<br>
<strong>Available in special diameters, lengths and completely resharpenable.</strong></p>                                
                            
                        </div>
<div id=""tolerances"" style=""margin-bottom:30px"">
                                            <h3>Tolerances</h3>
                                            <ul>
                                                
                                                    
                                                        
                                                            <li>Cut Dia +.000/-.002</li>
                                                        
                                                            <li class=""even"">Shank Dia -.0001/-.0005</li>
                                                        
                                                            <li>LOC +.025/+.050</li>
                                                        
                                                            <li class=""even"">OAL +/-.050</li>
                                                        
                                                    
                                                
                                            </ul>
                                        </div>",32.31,29,https://gorillamill.com/images/uploads/product-tool-groups/CMHPXXC3-profile-view.png,https://gorillamill.com/images/uploads/mill-subcategories/3-flute-lemur-diagram.pngg,https://gorillamill.com/products/product/9851
